Name,Year,duration_min,genres,director,lead_actor,vote_average
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,117.0,"Music, Documentary, History",Questlove,Stevie Wonder,7.61
LA 92,2017,114.0,"Documentary, History",T.J. Martin,Rodney King,7.73
Zeitgeist,2007,118.0,"Documentary, History",Peter Joseph,Chögyam Trungpa,7.0
The Death of Stalin,2017,107.0,"Comedy, Drama, History",Armando Iannucci,Steve Buscemi,7.002
A Guerra dos Pelados,1970,92.0,"History, Drama, War",Sylvio Back,Átila Iório,5.0
Charlie Wilson's War,2007,102.0,"Comedy, Drama, History",Mike Nichols,Tom Hanks,6.54
The Three Caballeros,1944,71.0,"Animation, Family, Music",Norman Ferguson,Clarence Nash,6.283
Perfect Days,2023,124.0,Drama,Wim Wenders,Koji Yakusho,7.8
Sidewalls,2011,94.0,"Drama, Romance",Gustavo Taretto,Pilar López de Ayala,7.507
Somewhere in Time,1980,103.0,"Drama, Fantasy, Romance",Jeannot Szwarc,Christopher Reeve,7.503
"Girl, Interrupted",1999,127.0,Drama,James Mangold,Winona Ryder,7.564
Sabrina,1995,127.0,"Romance, Drama",Sydney Pollack,Harrison Ford,6.2
Clueless,1995,97.0,"Comedy, Romance",Amy Heckerling,Alicia Silverstone,7.273
The Proposal,2009,108.0,"Comedy, Romance, Drama",Anne Fletcher,Sandra Bullock,7.152
Nine Months,1995,103.0,"Romance, Comedy",Chris Columbus,Hugh Grant,5.723
Lion of the Desert,1980,173.0,"History, War, Drama",Moustapha Akkad,Anthony Quinn,7.289
Porco Rosso,1992,93.0,"Family, Comedy, Animation, Adventure",Hayao Miyazaki,Shūichirō Moriyama,7.8
Seven Years in Tibet,1997,136.0,"Adventure, Drama, History",Jean-Jacques Annaud,Brad Pitt,7.157
Affliction,1997,114.0,"Crime, Drama, Mystery, Thriller",Paul Schrader,Nick Nolte,6.314
The Master,2012,137.0,Drama,Paul Thomas Anderson,Joaquin Phoenix,7.115
Mean Streets,1973,111.0,"Drama, Crime",Martin Scorsese,Harvey Keitel,7.08
Labyrinth,1986,102.0,"Adventure, Family, Fantasy",Jim Henson,David Bowie,7.268
The Wild Robot,2024,102.0,"Animation, Science Fiction, Family",Chris Sanders,Lupita Nyong'o,8.311
The Worst Person in the World,2021,128.0,"Drama, Romance, Comedy",Joachim Trier,Renate Reinsve,7.5
Mirror,1975,29.0,"Science Fiction, Drama, Romance",Keith LaFountaine,Diana Sanchez,8.2
Hit Them Hard! The Brazilian Fighter Squadron in World War II,1999,112.0,"Documentary, War, History",Erik de Castro,Newton Neiva de Figueiredo,7.0
The Good Nurse,2022,121.0,"Drama, Crime, Mystery",Tobias Lindholm,Jessica Chastain,6.9
Gonzaga: From Father to Son,2012,120.0,"Drama, History, Music",Breno Silveira,Adélio Lima,7.2
Polícia Federal: A Lei é Para Todos - Os Bastidores da Operação Lava Jato,2017,107.0,"Action, Thriller, Crime",Marcelo Antunez,Antonio Calloni,7.0
Anna,2019,119.0,"Action, Adventure, Thriller",Luc Besson,Sasha Luss,6.705
Colombiana,2011,108.0,"Action, Thriller, Crime, Drama",Olivier Megaton,Zoe Saldaña,6.631
The Score,2001,124.0,"Action, Crime, Thriller, Mystery, Drama",Frank Oz,Robert De Niro,6.702
6 Days,2017,95.0,"Action, Drama, History, Thriller",Toa Fraser,Jamie Bell,6.036
Arnold,2023,4.0,Drama,Nadav Asal,Nadav Asal,10.0
Getulio,2014,100.0,"Drama, History",João Jardim,Tony Ramos,6.706
Playing,2007,105.0,Documentary,Eduardo Coutinho,Fernanda Torres,8.384
The Cup,1999,93.0,Comedy,Khyentse Norbu,Orgyen Tobgyal,6.536
L.A. Confidential,1997,138.0,"Crime, Mystery, Thriller, Drama",Curtis Hanson,Guy Pearce,7.798
Pretty Woman,1990,120.0,"Romance, Comedy",Garry Marshall,Richard Gere,7.463
Green Card,1990,108.0,"Comedy, Romance, Drama",Peter Weir,Gérard Depardieu,6.126
Sleepless in Seattle,1993,105.0,"Comedy, Drama, Romance",Nora Ephron,Meg Ryan,6.742
While You Were Sleeping,1995,99.0,"Romance, Comedy",Jon Turteltaub,Sandra Bullock,7.014
True Lies,1994,141.0,"Action, Thriller",James Cameron,Arnold Schwarzenegger,7.079
Into the Wild,2007,148.0,"Adventure, Drama",Sean Penn,Emile Hirsch,7.797
The Assassination of Jesse James by the Coward Robert Ford,2007,159.0,"Drama, Western",Andrew Dominik,Casey Affleck,7.04
Tetris,2023,118.0,"Thriller, History, Drama",Jon S. Baird,Taron Egerton,7.671
One Hundred and One Dalmatians,1961,79.0,"Adventure, Animation, Comedy, Family",Clyde Geronimi,Rod Taylor,7.176
Glengarry Glen Ross,1992,100.0,"Crime, Drama, Mystery",James Foley,Al Pacino,7.343
Miller's Crossing,1990,115.0,"Drama, Thriller, Crime",Joel Coen,Gabriel Byrne,7.46
Soundtrack to a Coup d'Etat,2024,150.0,"Documentary, History, Music",Johan Grimonprez,Patrice Lumumba,7.4
1930 - Tempo de Revolução,1990,48.0,Documentary,Eduardo Escorel,Edwin Luisi,5.5
32 – A Guerra Civil,1993,48.0,Documentary,Eduardo Escorel,Edwin Luisi,5.5
Panic Room,2002,111.0,"Crime, Drama, Thriller",David Fincher,Jodie Foster,6.784
Enemy of the State,1998,132.0,"Action, Drama, Thriller",Tony Scott,Will Smith,7.054
Le Cercle Rouge,1970,140.0,"Crime, Thriller, Drama",Jean-Pierre Melville,Alain Delon,7.618
Manchester by the Sea,2016,138.0,Drama,Kenneth Lonergan,Casey Affleck,7.5
Halloween,1978,91.0,"Horror, Thriller",John Carpenter,Donald Pleasence,7.6
Bottle Rocket,1996,91.0,"Comedy, Crime, Drama",Wes Anderson,Luke Wilson,6.697
The Official Story,1985,112.0,"Drama, History",Luis Puenzo,Norma Aleandro,7.471
The Enigma of Kaspar Hauser,1974,109.0,"Drama, History",Werner Herzog,Bruno S.,7.339
"Aguirre, the Wrath of God",1972,95.0,"History, Adventure, Drama",Werner Herzog,Klaus Kinski,7.466
Grizzly Man,2005,103.0,Documentary,Werner Herzog,Timothy Treadwell,7.5
Stroszek,1977,107.0,Drama,Werner Herzog,Bruno S.,7.351
Cobra Verde,1987,111.0,"Adventure, Drama",Werner Herzog,Klaus Kinski,6.9
Russian Ark,2002,99.0,"Drama, Fantasy, History",Aleksandr Sokurov,Sergey Dreyden,7.262
Orlando,1992,90.0,"Drama, Fantasy",Sally Potter,Tilda Swinton,6.884
