Name,Year,duration_min,genres,director,lead_actor,vote_average
Butch Cassidy and the Sundance Kid,1969,111.0,"Western, Adventure, Crime, Drama, History",George Roy Hill,Paul Newman,7.602
Risky Business,1983,98.0,"Romance, Comedy, Drama",Paul Brickman,Tom Cruise,6.617
Jailhouse Rock,1957,96.0,"Music, Drama",Richard Thorpe,Elvis Presley,6.2
Viva Las Vegas,1964,85.0,"Music, Romance, Comedy",George Sidney,Elvis Presley,6.2
Saturday Night Fever,1977,118.0,"Music, Drama",John Badham,John Travolta,6.727
Dirty Dancing,1987,100.0,"Drama, Music, Romance",Emile Ardolino,Jennifer Grey,7.329
Ghost,1990,126.0,"Fantasy, Drama, Thriller, Mystery, Romance",Jerry Zucker,Patrick Swayze,7.225
The Outsiders,1983,94.0,"Crime, Drama",Francis Ford Coppola,C. Thomas Howell,7.207
Danton,1983,136.0,"Drama, History",Andrzej Wajda,Gérard Depardieu,6.896
The Girl with the Dragon Tattoo,2009,152.0,"Drama, Thriller, Crime, Mystery",Niels Arden Oplev,Michael Nyqvist,7.527
The Bridge on the River Kwai,1957,161.0,"Drama, History, War",David Lean,William Holden,7.811
The Seventh Seal,1957,96.0,"Fantasy, Drama",Ingmar Bergman,Gunnar Björnstrand,8.185
The Sting,1973,129.0,"Comedy, Crime, Drama",George Roy Hill,Paul Newman,8.026
The Dreamers,2003,115.0,"Drama, Romance",Bernardo Bertolucci,Michael Pitt,7.2
Last Tango in Paris,1972,129.0,"Drama, Romance",Bernardo Bertolucci,Marlon Brando,6.937
Winter Sleep,2014,196.0,Drama,Nuri Bilge Ceylan,Haluk Bilginer,7.5
Mirage,2018,109.0,"Mystery, Thriller",Edward Dmytryk,Gregory Peck,6.972
Cronos,1992,94.0,"Drama, Horror, Thriller",Guillermo del Toro,Federico Luppi,6.678
Pan's Labyrinth,2006,118.0,"Fantasy, Drama, War",Guillermo del Toro,Ivana Baquero,7.8
Nine Queens,2000,114.0,"Crime, Thriller, Drama",Fabián Bielinsky,Ricardo Darín,7.769
Cria!,1976,105.0,Drama,Carlos Saura,Ana Torrent,7.58
The Specials,2019,114.0,"Comedy, Drama",Éric Toledano,Vincent Cassel,7.8
